contract_id,contract_template,contract_date,client_name,P2_incident_or_lower_respond_time,P1_incident_respond_time,Payment_terms,SLA_Terms,Penalty_clause_SLA_breach, contract_value ,start_date,end_date,contract_status,contract_customer,contract_business_owner
1,CT005,05/01/2023,"Kirlin, Schimmel and Bartell",provide IT support within 6 hours,P1 incidents responded within 4 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.5% up time,penalty clause: £5k per SLA breach," 762,810.97 ",06/03/2024,08/01/2027,Pending,Carena Stappard,Baudoin Drescher
2,CT007,01/12/2022,"Turner, Heidenreich and Lang",provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.5% up time,penalty clause: £5k per SLA breach," 761,456.25 ",18/11/2021,29/08/2026,Active,Burk Foulser,Sky Riddington
3,CT002,20/11/2020,Halvorson-Adams,provide IT support within 72 hours,P1 incidents responded within 48 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 617,610.90 ",03/11/2023,01/07/2027,Active,Kilian Reisk,Sky Riddington
4,CT003,09/03/2026,Larkin-Bradtke,provide IT support within 24 hours,P1 incidents responded within 16 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.99% up time,penalty clause: £10k per SLA breach," 947,827.20 ",09/12/2022,27/05/2027,Inactive,Sherill Habercham,Timothee Probbin
5,CT001,21/02/2022,Gusikowski Inc,provide IT support within 48 hours,P1 incidents responded within 24 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 572,137.76 ",01/05/2022,06/04/2026,Active,Andree Cousin,Buck Garrick
6,CT006,17/07/2024,Lang Group,provide IT support within 4 hours,P1 incidents responded within 4 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.0% up time,penalty clause: £5k per SLA breach," 601,986.82 ",10/01/2024,10/12/2026,Active,Tad Bengough,Baudoin Drescher
7,CT002,04/02/2024,"Boyle, Keebler and Koch",provide IT support within 72 hours,P1 incidents responded within 48 hour,Pay Invoice with in 60 days,Supplier must maintain a 95.0% up time,penalty clause: £1k per SLA breach," 296,491.34 ",26/07/2024,18/11/2027,Inactive,Tiler Graybeal,Tallie Bodd
8,CT002,22/01/2022,Anderson Group,provide IT support within 72 hours,P1 incidents responded within 48 hour,Pay Invoice with in 60 days,Supplier must maintain a 95.0% up time,penalty clause: £1k per SLA breach," 285,286.79 ",12/09/2024,24/01/2026,Inactive,Devora Koppke,Roxie Moylane
9,CT002,09/03/2024,"Homenick, Gutkowski and Pfannerstill",provide IT support within 72 hours,P1 incidents responded within 24 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.9% up time,penalty clause: £10k per SLA breach," 895,665.63 ",09/09/2022,27/05/2025,Active,Zoe Robe,Royall Badder
10,CT008,11/05/2024,"Goyette, O'Kon and Grimes",provide IT support within 2 hours,P1 incidents responded within 1 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.99% up time,penalty clause: £20k per SLA breach," 904,586.13 ",16/07/2022,06/06/2025,Active,Selena Farreil,Gerti Dovermann
